timestamp,open,high,low,close,volume
1640995200000,46500.00,47200.00,46300.00,46800.00,125.45
1640995260000,46800.00,46900.00,46650.00,46700.00,98.32
1640995320000,46700.00,46850.00,46600.00,46750.00,76.89
1640995380000,46750.00,46950.00,46700.00,46900.00,105.21
1640995440000,46900.00,47000.00,46800.00,46850.00,87.65
1640995500000,46850.00,46950.00,46750.00,46800.00,92.14
1640995560000,46800.00,46900.00,46700.00,46850.00,78.43
1640995620000,46850.00,47100.00,46800.00,47000.00,115.67
1640995680000,47000.00,47200.00,46950.00,47150.00,134.21
1640995740000,47150.00,47300.00,47050.00,47200.00,98.76
