timestamp,open,high,low,close,volume
1704067200000,42500.00,43200.00,42300.00,42800.00,125.45
1704067260000,42800.00,42900.00,42650.00,42700.00,98.32
1704067320000,42700.00,42850.00,42600.00,42750.00,76.89
1704067380000,42750.00,42950.00,42700.00,42900.00,105.21
1704067440000,42900.00,43000.00,42800.00,42850.00,87.65
1704067500000,42850.00,42950.00,42750.00,42800.00,92.14
1704067560000,42800.00,42900.00,42700.00,42850.00,78.43
1704067620000,42850.00,43100.00,42800.00,43000.00,115.67
1704067680000,43000.00,43200.00,42950.00,43150.00,134.21
1704067740000,43150.00,43300.00,43050.00,43200.00,98.76
1704067800000,43200.00,43400.00,43100.00,43250.00,102.45
1704067860000,43250.00,43350.00,43150.00,43180.00,89.32
1704067920000,43180.00,43280.00,43080.00,43220.00,95.67
1704067980000,43220.00,43320.00,43120.00,43300.00,112.89
1704068040000,43300.00,43450.00,43200.00,43380.00,128.45
1704068100000,43380.00,43480.00,43280.00,43420.00,94.76
1704068160000,43420.00,43520.00,43320.00,43450.00,103.21
1704068220000,43450.00,43550.00,43350.00,43500.00,118.67
1704068280000,43500.00,43600.00,43400.00,43520.00,85.43
1704068340000,43520.00,43620.00,43420.00,43580.00,97.89
1704068400000,43580.00,43680.00,43480.00,43600.00,106.54
1704068460000,43600.00,43700.00,43500.00,43650.00,91.23
1704068520000,43650.00,43750.00,43550.00,43700.00,108.76
1704068580000,43700.00,43800.00,43600.00,43720.00,99.45
1704068640000,43720.00,43820.00,43620.00,43780.00,113.67
1704068700000,43780.00,43880.00,43680.00,43800.00,87.32
1704068760000,43800.00,43900.00,43700.00,43850.00,95.89
1704068820000,43850.00,43950.00,43750.00,43900.00,102.34
1704068880000,43900.00,44000.00,43800.00,43920.00,119.56
1704068940000,43920.00,44020.00,43820.00,43980.00,88.74
